id,Brown dwarf,Constellation,Right ascension,Declination,App.mag.,Distance,Spectraltype,Mass,Radius,Discovery year
2136,WISE 0316+4307,Perseus,3h 16m 24.35s,43° 7′ 9.1″,,106.3,T8,,,2010
2137,WISE 0316+4307,Perseus,3h 16m 24.35s,43° 7′ 9.1″,,106.3,T8,,,2010
2138,WISE 0316+4307,Perseus,3h 16m 24.35s,43° 7′ 9.1″,,106.3,T8,,,2010
2139,WISE 0316+4307,Perseus,3h 16m 24.35s,43° 7′ 9.1″,,106.3,T8,,,2010
2140,WISE 0321-7347,Hydrus,3h 21m 20.91s,−73° 47′ 58.8″,,84.8,T8,,,2010
2141,WISE 0321-7347,Hydrus,3h 21m 20.91s,−73° 47′ 58.8″,,84.8,T8,,,2010
2142,WISE 0321-7347,Hydrus,3h 21m 20.91s,−73° 47′ 58.8″,,84.8,T8,,,2010
2143,WISE 0321-7347,Hydrus,3h 21m 20.91s,−73° 47′ 58.8″,,84.8,T8,,,2010
2144,WISE 0321-7347,Hydrus,3h 21m 20.91s,−73° 47′ 58.8″,,84.8,T8,,,2010
2145,WISE 0321-7347,Hydrus,3h 21m 20.91s,−73° 47′ 58.8″,,84.8,T8,,,2010
2146,WISE 0321-7347,Hydrus,3h 21m 20.91s,−73° 47′ 58.8″,,84.8,T8,,,2010
2147,WISE 0321-7347,Hydrus,3h 21m 20.91s,−73° 47′ 58.8″,,84.8,T8,,,2010
2148,WISE 0321-7347,Hydrus,3h 21m 20.91s,−73° 47′ 58.8″,,84.8,T8,,,2010
2149,WISE 0321-7347,Hydrus,3h 21m 20.91s,−73° 47′ 58.8″,,84.8,T8,,,2010
2150,WISE 0323-6025,Reticulum,3h 23m 37.57s,−60° 25′ 54.5″,18.15,45.3,T8.5,,,2010
2151,WISE 0323-6025,Reticulum,3h 23m 37.57s,−60° 25′ 54.5″,18.15,45.3,T8.5,,,2010
2152,WISE 0323-6025,Reticulum,3h 23m 37.57s,−60° 25′ 54.5″,18.15,45.3,T8.5,,,2010
2153,WISE 0323-6025,Reticulum,3h 23m 37.57s,−60° 25′ 54.5″,18.15,45.3,T8.5,,,2010
2154,WISE 0323-6025,Reticulum,3h 23m 37.57s,−60° 25′ 54.5″,18.15,45.3,T8.5,,,2010
2155,WISE 0323-6025,Reticulum,3h 23m 37.57s,−60° 25′ 54.5″,18.15,45.3,T8.5,,,2010
2156,WISE 0323-6025,Reticulum,3h 23m 37.57s,−60° 25′ 54.5″,18.15,45.3,T8.5,,,2010
2157,WISE 0323-6025,Reticulum,3h 23m 37.57s,−60° 25′ 54.5″,18.15,45.3,T8.5,,,2010
2158,WISE 0323-6025,Reticulum,3h 23m 37.57s,−60° 25′ 54.5″,18.15,45.3,T8.5,,,2010
2159,WISE 0323-6025,Reticulum,3h 23m 37.57s,−60° 25′ 54.5″,18.15,45.3,T8.5,,,2010
2160,WISE 0325-3854,Fornax,3h 25m 17.69s,−38° 54′ 54.1″,,51.2,T9,,,2010
2161,WISE 0325-3854,Fornax,3h 25m 17.69s,−38° 54′ 54.1″,,51.2,T9,,,2010
2162,WISE 0325-3854,Fornax,3h 25m 17.69s,−38° 54′ 54.1″,,51.2,T9,,,2010
2163,WISE 0325-3854,Fornax,3h 25m 17.69s,−38° 54′ 54.1″,,51.2,T9,,,2010
2164,WISE 0325-3854,Fornax,3h 25m 17.69s,−38° 54′ 54.1″,,51.2,T9,,,2010
2165,WISE 0325-3854,Fornax,3h 25m 17.69s,−38° 54′ 54.1″,,51.2,T9,,,2010
2166,WISE 0325-3854,Fornax,3h 25m 17.69s,−38° 54′ 54.1″,,51.2,T9,,,2010
2167,WISE 0325-3854,Fornax,3h 25m 17.69s,−38° 54′ 54.1″,,51.2,T9,,,2010
2168,WISE 0325-3854,Fornax,3h 25m 17.69s,−38° 54′ 54.1″,,51.2,T9,,,2010
2169,WISE 0325-3854,Fornax,3h 25m 17.69s,−38° 54′ 54.1″,,51.2,T9,,,2010
2170,WISE 0325+0831,Taurus,3h 25m 47.72s,8° 31′ 18.2″,,36.5,T7,,,2010
2171,WISE 0325+0831,Taurus,3h 25m 47.72s,8° 31′ 18.2″,,36.5,T7,,,2010
2172,WISE 0325+0831,Taurus,3h 25m 47.72s,8° 31′ 18.2″,,36.5,T7,,,2010
2173,WISE 0325+0831,Taurus,3h 25m 47.72s,8° 31′ 18.2″,,36.5,T7,,,2010
2174,WISE 0325+0831,Taurus,3h 25m 47.72s,8° 31′ 18.2″,,36.5,T7,,,2010
2175,WISE 0325+0831,Taurus,3h 25m 47.72s,8° 31′ 18.2″,,36.5,T7,,,2010
2176,WISE 0325+0831,Taurus,3h 25m 47.72s,8° 31′ 18.2″,,36.5,T7,,,2010
2177,WISE 0325+0831,Taurus,3h 25m 47.72s,8° 31′ 18.2″,,36.5,T7,,,2010
2178,WISE 0325+0831,Taurus,3h 25m 47.72s,8° 31′ 18.2″,,36.5,T7,,,2010
2179,WISE 0325+0831,Taurus,3h 25m 47.72s,8° 31′ 18.2″,,36.5,T7,,,2010
2180,WISE 0333-5856,Reticulum,3h 33m 49.33s,−58° 56′ 18.6″,16,54.8,T3,,,2010
2181,WISE 0333-5856,Reticulum,3h 33m 49.33s,−58° 56′ 18.6″,16,54.8,T3,,,2010
2182,WISE 0333-5856,Reticulum,3h 33m 49.33s,−58° 56′ 18.6″,16,54.8,T3,,,2010
2183,WISE 0333-5856,Reticulum,3h 33m 49.33s,−58° 56′ 18.6″,16,54.8,T3,,,2010
2184,WISE 0333-5856,Reticulum,3h 33m 49.33s,−58° 56′ 18.6″,16,54.8,T3,,,2010
2185,WISE 0333-5856,Reticulum,3h 33m 49.33s,−58° 56′ 18.6″,16,54.8,T3,,,2010
2186,WISE 0333-5856,Reticulum,3h 33m 49.33s,−58° 56′ 18.6″,16,54.8,T3,,,2010
2187,WISE 0333-5856,Reticulum,3h 33m 49.33s,−58° 56′ 18.6″,16,54.8,T3,,,2010
2188,WISE 0333-5856,Reticulum,3h 33m 49.33s,−58° 56′ 18.6″,16,54.8,T3,,,2010
2189,WISE 0333-5856,Reticulum,3h 33m 49.33s,−58° 56′ 18.6″,16,54.8,T3,,,2010
2190,WISE 0335+4310,Perseus,3h 35m 15.01s,43° 10′ 45.1″,,45.7,T9::,,,2010
2191,WISE 0335+4310,Perseus,3h 35m 15.01s,43° 10′ 45.1″,,45.7,T9::,,,2010
2192,WISE 0335+4310,Perseus,3h 35m 15.01s,43° 10′ 45.1″,,45.7,T9::,,,2010
2193,WISE 0335+4310,Perseus,3h 35m 15.01s,43° 10′ 45.1″,,45.7,T9::,,,2010
2194,WISE 0335+4310,Perseus,3h 35m 15.01s,43° 10′ 45.1″,,45.7,T9::,,,2010
2195,WISE 0335+4310,Perseus,3h 35m 15.01s,43° 10′ 45.1″,,45.7,T9::,,,2010
2196,WISE 0335+4310,Perseus,3h 35m 15.01s,43° 10′ 45.1″,,45.7,T9::,,,2010
2197,WISE 0335+4310,Perseus,3h 35m 15.01s,43° 10′ 45.1″,,45.7,T9::,,,2010
2198,WISE 0335+4310,Perseus,3h 35m 15.01s,43° 10′ 45.1″,,45.7,T9::,,,2010
2199,WISE 0335+4310,Perseus,3h 35m 15.01s,43° 10′ 45.1″,,45.7,T9::,,,2010
2200,WISE 0336-0143,Eridanus,3h 36m 5.05s,−1° 43′ 50.4″,,55.4,T8::,,,2010
2201,WISE 0336-0143,Eridanus,3h 36m 5.05s,−1° 43′ 50.4″,,55.4,T8::,,,2010
2202,WISE 0336-0143,Eridanus,3h 36m 5.05s,−1° 43′ 50.4″,,55.4,T8::,,,2010
2203,WISE 0336-0143,Eridanus,3h 36m 5.05s,−1° 43′ 50.4″,,55.4,T8::,,,2010
2204,WISE 0336-0143,Eridanus,3h 36m 5.05s,−1° 43′ 50.4″,,55.4,T8::,,,2010
2205,WISE 0336-0143,Eridanus,3h 36m 5.05s,−1° 43′ 50.4″,,55.4,T8::,,,2010
2206,WISE 0336-0143,Eridanus,3h 36m 5.05s,−1° 43′ 50.4″,,55.4,T8::,,,2010
2207,WISE 0336-0143,Eridanus,3h 36m 5.05s,−1° 43′ 50.4″,,55.4,T8::,,,2010
2208,WISE 0336-0143,Eridanus,3h 36m 5.05s,−1° 43′ 50.4″,,55.4,T8::,,,2010
2209,WISE 0336-0143,Eridanus,3h 36m 5.05s,−1° 43′ 50.4″,,55.4,T8::,,,2010
2210,WISE 0350-5658,Reticulum,3h 50m 0.32s,−56° 58′ 30.2″,22.8,17.7,Y1,,,2010
2211,WISE 0350-5658,Reticulum,3h 50m 0.32s,−56° 58′ 30.2″,22.8,17.7,Y1,,,2010
2212,WISE 0350-5658,Reticulum,3h 50m 0.32s,−56° 58′ 30.2″,22.8,17.7,Y1,,,2010
