id,Brown dwarf,Constellation,Right ascension,Declination,App.mag.,Distance,Spectraltype,Mass,Radius,Discovery year
1792,2MASS J22282889-4310262,Grus,22h 28m 28.89s,−43° 10′ 26.2″,15.66,35,T6,42,0.94,2013
1793,2MASS J22282889-4310262,Grus,22h 28m 28.89s,−43° 10′ 26.2″,15.66,35,T6,42,0.94,2013
1794,2MASS J22282889-4310262,Grus,22h 28m 28.89s,−43° 10′ 26.2″,15.66,35,T6,42,0.94,2013
1795,2MASS J22282889-4310262,Grus,22h 28m 28.89s,−43° 10′ 26.2″,15.66,35,T6,42,0.94,2013
1796,2MASS J22282889-4310262,Grus,22h 28m 28.89s,−43° 10′ 26.2″,15.66,35,T6,42,0.94,2013
1797,2MASS J22282889-4310262,Grus,22h 28m 28.89s,−43° 10′ 26.2″,15.66,35,T6,42,0.94,2013
1798,2MASS J22282889-4310262,Grus,22h 28m 28.89s,−43° 10′ 26.2″,15.66,35,T6,42,0.94,2013
1799,2MASS J22282889-4310262,Grus,22h 28m 28.89s,−43° 10′ 26.2″,15.66,35,T6,42,0.94,2013
1800,2MASS J22373255+3922398,,22h 37m 32.55s,39° 22′ 39.8″,,64,M9.5,73,1.04,n/a
1801,2MASS J22373255+3922398,,22h 37m 32.55s,39° 22′ 39.8″,,64,M9.5,73,1.04,n/a
1802,2MASS J22373255+3922398,,22h 37m 32.55s,39° 22′ 39.8″,,64,M9.5,73,1.04,n/a
1803,2MASS J22373255+3922398,,22h 37m 32.55s,39° 22′ 39.8″,,64,M9.5,73,1.04,n/a
1804,2MASS J22373255+3922398,,22h 37m 32.55s,39° 22′ 39.8″,,64,M9.5,73,1.04,n/a
1805,2MASS J22373255+3922398,,22h 37m 32.55s,39° 22′ 39.8″,,64,M9.5,73,1.04,n/a
1806,2MASS J22373255+3922398,,22h 37m 32.55s,39° 22′ 39.8″,,64,M9.5,73,1.04,n/a
1807,2MASS J22373255+3922398,,22h 37m 32.55s,39° 22′ 39.8″,,64,M9.5,73,1.04,n/a
1808,2MASS J22373255+3922398,,22h 37m 32.55s,39° 22′ 39.8″,,64,M9.5,73,1.04,n/a
1809,2MASS J22373255+3922398,,22h 37m 32.55s,39° 22′ 39.8″,,64,M9.5,73,1.04,n/a
1810,2MASSW J2244316+204343,,22h 44m 31.67s,20° 43′ 43.3″,,56,L6.5,12,1.29,n/a
1811,2MASSW J2244316+204343,,22h 44m 31.67s,20° 43′ 43.3″,,56,L6.5,12,1.29,n/a
1812,2MASSW J2244316+204343,,22h 44m 31.67s,20° 43′ 43.3″,,56,L6.5,12,1.29,n/a
1813,2MASSW J2244316+204343,,22h 44m 31.67s,20° 43′ 43.3″,,56,L6.5,12,1.29,n/a
1814,2MASSW J2244316+204343,,22h 44m 31.67s,20° 43′ 43.3″,,56,L6.5,12,1.29,n/a
1815,2MASSW J2244316+204343,,22h 44m 31.67s,20° 43′ 43.3″,,56,L6.5,12,1.29,n/a
1816,2MASSW J2244316+204343,,22h 44m 31.67s,20° 43′ 43.3″,,56,L6.5,12,1.29,n/a
1817,2MASSW J2244316+204343,,22h 44m 31.67s,20° 43′ 43.3″,,56,L6.5,12,1.29,n/a
1818,2MASSW J2244316+204343,,22h 44m 31.67s,20° 43′ 43.3″,,56,L6.5,12,1.29,n/a
1819,2MASSW J2244316+204343,,22h 44m 31.67s,20° 43′ 43.3″,,56,L6.5,12,1.29,n/a
1820,2MASS J23224684-3133231,,23h 22m 46.84s,−31° 33′ 23.1″,,56,L0β,24,1.39,n/a
1821,2MASS J23224684-3133231,,23h 22m 46.84s,−31° 33′ 23.1″,,56,L0β,24,1.39,n/a
