,star_names,distance,mass,radius,gravity
0,Sun,1.5813e-05,1.0,1.0,274.2691614595739
1,Sirius,8.6,2.1,1.71,196.971799550325
2,Canopus,310.0,15.0,71.0,0.8161153386021839
3,Alpha Centauri,4.4,1.1,1.2,209.51116500384123
4,Arcturus,37.0,1.1,26.0,0.44629597278924754
5,Vega,25.0,2.2,2.7,82.76984296448046
6,Capella,43.0,2.6,12.0,4.952082081908975
7,Rigel,860.0,23.0,78.9,1.01332978543217
8,Procyon,11.4,1.5,1.9,113.9622554541166
9,Betelgeuse,,20.0,950.0,0.006077986957552885
10,Achernar,144.0,6.7,9.3,21.2464259657665
11,Hadar,390.0,10.5,8.6,38.937617567949246
12,Altair,17.0,1.8,1.8,152.37175636642996
13,Acrux,320.0,18.0,8.9,62.326030883377484
14,Aldebaran,65.0,1.5,44.0,0.21250193294905007
15,Antares,600.0,12.0,680.0,0.0071177118025840995
16,Spica,260.0,11.43,7.47,56.18003500809
17,Pollux,34.0,1.9,8.8,6.729227876719916
18,Fomalhaut,25.0,1.9,1.8,160.8368539423427
19,Deneb,,19.0,203.0,0.12645572733460908
20,Mimosa,350.0,16.0,8.4,62.19255361895101
21,Regulus,77.0,3.8,3.1,108.45190567600218
22,Adhara,430.0,12.5,14.0,17.491655705329972
23,Shaula,700.0,14.5,8.8,51.354633796020416
24,Castor,52.0,2.8,2.4,133.3252868206262
25,Gacrux,88.0,1.5,84.0,0.058305519017766566
26,Bellatrix,240.0,8.6,5.8,70.11637302474244
27,Elnath,130.0,5.0,4.2,77.74069202368877
28,Miaplacidus,110.0,3.5,6.8,20.759992757536956
29,Alnilam,,32.0,42.0,4.975404289516081
30,Gamma Velorum,,9.0,6.0,68.56729036489348
31,Alnair,101.0,4.0,3.4,94.90282403445465
32,Alioth,81.0,2.9,4.2,45.08960137373948
33,Alnitak,1050.0,33.0,20.0,22.62720582041485
34,Dubhe,120.0,4.25,30.0,1.2951599291146547
35,Mirfak,590.0,8.5,68.0,0.5041712526830403
36,Wezen,,17.0,200.0,0.11656439362031894
37,Sargas,270.0,5.7,26.0,2.3126245862715553
38,Kaus Australis,140.0,3.5,6.8,20.759992757536956
39,Avior,630.0,9.0,130.0,0.14606050018557193
40,Alkaid,104.0,6.1,3.4,144.72680665254333
41,Menkalinan,81.0,2.39,2.77,85.43097080483021
42,Atria,390.0,7.0,92.0,0.22682941046987445
43,Alhena,109.0,2.8,3.3,70.51915997124031
44,Peacock,180.0,5.9,4.8,70.23385645015132
45,Alsephina[2],80.0,2.4,2.9,78.26943965552645
46,Mirzam,500.0,13.5,10.0,37.02633679704249
47,Polaris,430.0,5.4,39.0,0.973736667903813
48,Alphard,180.0,3.0,50.0,0.32912299375148873
49,Mintaka,1200.0,24.0,16.5,24.17799770442525
50,Scheat,196.0,2.1,95.0,0.0638188630543053
51,Almaaz,653.0,15.0,140.0,0.20989986846395964
52,Rasalgethi,360.0,2.8,280.0,0.009795327194984781
53,Tau Ceti,11.9,0.783,0.893,269.29967110479345
54,Delta Pavonis,19.92,0.991,1.22,182.61269753187165
55,Ran,10.48,0.82,0.74,410.70254272616984
56,V382 Carinae,,20.0,485.0,0.023319728894426524
57,Eta Carinae,,100.0,,
58,Delta Cephei,887.0,4.5,44.5,0.6232603088337749
59,Mu Cephei,,19.2,972.0,0.005573726798954914
60,Titawin,44.25,1.27,1.48,159.02202111653529
61,Rho Cassiopeiae,,22.0,,
62,P Cygni,,30.0,76.0,1.4245281931764575
63,La Superba,,,,
64,VV Cephei,,18.2,,
65,61 Cygni,11.41,0.7,0.665,434.1419255394917
66,R Doradus,178.0,,298.0,
67,Polaris Australis,281.0,1.59,3.74,31.176754176608036
68,R Coronae Borealis,,0.85,85.0,0.032266960171714584
69,54 Piscium,36.1,0.76,0.94,235.9037604224493
70,Mira,300.0,1.2,370.0,0.00240411244522636
71,RW Cephei,,13.9,,
72,Lacaille 8760,12.87,0.6,0.51,632.685493563031
73,V838 Monocerotis,,,,
74,HD 140283,202.0,0.81,2.04,53.38283851938075
75,II Pegasi,130.0,0.8,3.4,18.98056480689093
76,VY Canis Majoris,,17.0,,
77,Pistol Star,,100.0,320.0,0.2678409779878652
78,S Doradus,,24.0,380.0,0.04558490218164664
79,UY Scuti,,,755.0,
80,Barnard's Star,5.98,0.14,0.2,959.9420651085089
81,HE 1523-0901,,0.8,27.0,0.30098124714356533
82,Proxima Centauri,4.25,0.12,0.15,1462.7688611177277
83,KIC 8462852,,1.43,1.58,157.10819615734286
84,R136a1,,290.0,32.0,77.67388361648091
85,Melnick 42,,189.0,21.1,116.4324060911917
86,WR 102,,19.0,0.39,34261.104981800825
87,VFTS 352,,57.48,14.47,75.29335961731135
88,YBP 1194,,1.01,0.99,282.6363157577489
89,Gliese 1214,47.5,0.16,0.21,995.0808579032163
90,Luhman 16,6.5,,,
91,NML Cygni,,50.0,,
92,VB 10,18.72,0.075,0.1,2057.0187109468043
93,WOH G64,,,,
94,TRAPPIST-1,39.6,0.089,0.12,1695.1357895765334
95,2MASS J0523-1403,40.3,0.07,0.086,2595.841171196618
96,WISE 0855−0714,7.27,0.003,,
97,Icarus,,33.0,,
98,SDSS J000013.54+255418.6 [de],46.1,0.045820224,0.1017353699999999,1214.2000569364636
99,2MASS J00040288-6410358,192.0,0.018137172,0.1675036899999999,177.2955327030963
100,2MASS J00242463-0158201,37.7,0.075412452,0.11201167,1648.5172507306947
101,2MASS J00274197+0503417,236.0,0.029592228,0.1479787199999999,370.6432628229714
102,2MASSW J0030300-145033,87.2,0.051547752,0.1007077399999999,1393.9943359838155
103,2MASS J00332386-1521309 [de],131.0,0.027683052,0.1469510899999999,351.5971318717642
